fd	mg
400.0	6.837855542295712e-07
390.00000000000006	6.666843946129495e-07
380.0	6.495834514707862e-07
370.00000000000006	6.324827311160417e-07
359.99999999999994	6.153822400870976e-07
350.0	5.982819851574616e-07
339.99999999999994	5.811819733459221e-07
330.0	5.640822119272894e-07
319.99999999999994	5.469827084436289e-07
309.99999999999994	5.29883470714029e-07
299.99999999999994	5.127845025306906e-07
289.99999999999994	4.843593626257868e-07
279.99999999999994	4.552428355671932e-07
269.99999999999994	4.277720362547836e-07
259.9999999999999	4.014250857402263e-07
249.9999999999999	3.761318253506425e-07
239.9999999999999	3.518312815455078e-07
229.99999999999986	3.2847123628494417e-07
219.99999999999986	3.0600735271799664e-07
209.99999999999983	2.844021712348453e-07
199.99999999999983	2.6362412893148067e-07
189.99999999999983	2.4364666846497326e-07
179.99999999999983	2.2444745795692553e-07
169.9999999999998	2.0600772235790596e-07
159.9999999999998	1.8831167746740532e-07
149.9999999999998	1.7134605464715677e-07
139.99999999999977	1.5509970401618266e-07
129.9999999999998	1.395632649300766e-07
119.99999999999977	1.2472889398600534e-07
109.99999999999976	1.105900422484565e-07
99.99999999999974	9.714127467941246e-08
89.99999999999974	8.437812582413035e-08
79.99999999999974	7.229698665864114e-08
69.99999999999973	6.089501818559468e-08
59.99999999999973	5.0170087918724866e-08
49.99999999999971	4.012072586736428e-08
39.9999999999997	3.074609705614341e-08
29.99999999999969	2.2045988015001076e-08
19.999999999999684	1.4020805064218801e-08
9.999999999999677	6.671582604035806e-09
-3.3306690738754696e-13	-2.1089919778214358e-22
-10.000000000000343	-5.991593965714323e-09
-20.00000000000035	-1.1300149727175424e-08
-30.00000000000036	-1.5921878913905318e-08
-40.00000000000037	-1.9852209527318682e-08
-50.00000000000038	-2.308573370678388e-08
-60.00000000000039	-2.5616146267959908e-08
-70.0000000000004	-1.5180256159948255e-08
-80.0000000000004	7.229698665864218e-08
-90.00000000000041	8.437812582413102e-08
-100.00000000000044	9.714127467941304e-08
-110.00000000000043	1.1059004224845745e-07
-120.00000000000043	1.2472889398600619e-07
-130.00000000000045	1.395632649300772e-07
-140.00000000000045	1.5509970401618356e-07
-150.00000000000048	1.7134605464715794e-07
-160.00000000000048	1.883116774674067e-07
-170.00000000000048	2.0600772235790805e-07
-180.0000000000005	2.244474579569268e-07
-190.0000000000005	2.4364666846497463e-07
-200.00000000000054	2.6362412893148173e-07
-210.00000000000054	2.844021712348469e-07
-220.0000000000005	3.0600735271799754e-07
-230.00000000000054	3.2847123628494587e-07
-240.00000000000057	3.518312815455101e-07
-250.00000000000054	3.761318253506443e-07
-260.00000000000057	4.014250857402278e-07
-270.00000000000057	4.277720362547856e-07
-280.00000000000057	4.55242835567195e-07
-290.00000000000057	4.839162178685119e-07
-300.0000000000006	5.124785086211672e-07
-310.00000000000057	5.29883471024598e-07
-320.0000000000006	5.46982708443632e-07
-330.0000000000006	5.640822119272911e-07
-340.0000000000007	5.81181973345924e-07
-350.0000000000006	5.982819851574623e-07
-360.0000000000006	6.153822400870985e-07
-370.0000000000006	6.324827311160429e-07
-380.0000000000007	6.495834514707859e-07
-390.0000000000007	6.666843946129501e-07
-400.0	6.837855542295712e-07
-390.00000000000006	6.666843946129497e-07
-380.0	6.495834514707849e-07
-370.00000000000006	6.324827311160414e-07
-359.99999999999994	6.153822400870978e-07
-350.0	5.98281985157461e-07
-339.99999999999994	5.811819733459223e-07
-330.0	5.640822119272893e-07
-319.99999999999994	5.469827084436286e-07
-309.99999999999994	5.298834707140284e-07
-299.99999999999994	5.127845025306916e-07
-289.99999999999994	4.843593626257609e-07
-279.99999999999994	4.5524283556719333e-07
-269.99999999999994	4.27772036254784e-07
-259.9999999999999	4.014250857402262e-07
-249.9999999999999	3.7613182535064244e-07
-239.9999999999999	3.518312815455074e-07
-229.99999999999986	3.28471236284945e-07
-219.99999999999986	3.0600735271799674e-07
-209.99999999999983	2.8440217123484536e-07
